tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1990-339,Adelaide,Hard,32,A,1990-01-01,1,101843,1,NA,Sergi Bruguera,R,188,ESP,18.9596167009,101632,NA,Q,Per Henricsson,R,190,SWE,20.3969883641,7-6 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,591,282,70
1990-339,Adelaide,Hard,32,A,1990-01-01,2,100714,NA,WC,Broderick Dyke,L,183,AUS,29.0020533881,101096,NA,NA,Gary Muller,L,190,RSA,25.0130047912,6-4 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,157,127,182
1990-339,Adelaide,Hard,32,A,1990-01-01,3,101529,NA,NA,Michael Stich,R,193,GER,21.2046543463,101232,NA,NA,Nicklas Kroon,R,183,SWE,23.9041752225,6-4 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,215,71,290
1990-339,Adelaide,Hard,32,A,1990-01-01,4,100628,7,NA,Michiel Schapers,R,201,NED,30.2258726899,101434,NA,NA,Petr Korda,L,190,CZE,21.9411362081,6-3 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,297,80,271
1990-339,Adelaide,Hard,32,A,1990-01-01,5,101404,3,NA,Thomas Muster,L,180,AUT,22.250513347,101387,NA,NA,Claudio Pistolesi,R,180,ITA,22.3545516769,6-4 4-6 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,496,100,224
1990-339,Adelaide,Hard,32,A,1990-01-01,6,100713,NA,NA,John Fitzgerald,R,183,AUS,29.0102669405,101552,NA,Q,Xavier Daufresne,R,193,BEL,21.0212183436,3-6 7-5 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,217,336,54
1990-339,Adelaide,Hard,32,A,1990-01-01,7,101256,NA,WC,Mark Kratzmann,L,178,AUS,23.627652293,101727,NA,NA,Jason Stoltenberg,R,185,AUS,19.7453798768,5-7 4-3 RET,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,211,91,245
1990-339,Adelaide,Hard,32,A,1990-01-01,8,100901,5,NA,Paul Annacone,R,185,USA,26.7871321013,101344,NA,NA,Bruno Oresar,R,175,CRO,22.6995208761,6-1 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,361,90,247
1990-339,Adelaide,Hard,32,A,1990-01-01,9,101440,6,NA,Mark Koevermans,R,185,NED,21.9110198494,101123,NA,Q,Alexander Mronz,R,188,GER,24.7364818617,6-1 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,306,164,135
1990-339,Adelaide,Hard,32,A,1990-01-01,10,101234,NA,NA,Patrik Kuhnen,R,190,GER,23.8877481177,101235,NA,NA,Paul Haarhuis,R,188,NED,23.8658453114,6-3 2-6 7-6,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,236,76,280
