tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1980-1725,Pepsi Grand Slam,Clay,4,A,1980-02-08,1,100437,NA,NA,Bjorn Borg,R,180,SWE,23.6741957563,100282,NA,NA,Guillermo Vilas,L,180,ARG,27.4770704997,6-2 6-3,3,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,NA
1980-1725,Pepsi Grand Slam,Clay,4,A,1980-02-08,2,100342,NA,NA,Vitas Gerulaitis,R,183,USA,25.5386721424,100581,NA,NA,John McEnroe,L,180,USA,20.977412731,7-6 6-3,3,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,NA
1980-1725,Pepsi Grand Slam,Clay,4,A,1980-02-08,3,100437,NA,NA,Bjorn Borg,R,180,SWE,23.6741957563,100342,NA,NA,Vitas Gerulaitis,R,183,USA,25.5386721424,6-1 5-7 6-1,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA
1980-205,Lagos,Clay,32,A,1980-02-25,1,100259,1,NA,Peter Feigl,R,183,AUT,28.2381930185,100443,NA,NA,Christophe Freyss,L,183,FRA,23.4880219028,6-3 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA
1980-205,Lagos,Clay,32,A,1980-02-25,2,100135,NA,NA,Onny Parun,R,188,NZL,32.8651608487,100467,NA,NA,Mark Turpin,R,183,USA,23.0554414784,6-4 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-205,Lagos,Clay,32,A,1980-02-25,3,100450,NA,NA,Leo Palin,R,178,FIN,23.3483915127,110384,NA,NA,Kehinde Ajayi,R,NA,NGR,NA,6-4 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-205,Lagos,Clay,32,A,1980-02-25,4,100228,7,NA,Kjell Johansson,R,NA,SWE,29.0349075975,107719,NA,Q,Martin Lorenzoni,R,NA,ITA,NA,6-0 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-205,Lagos,Clay,32,A,1980-02-25,5,100148,NA,NA,Ismail El Shafei,R,NA,EGY,32.2792607803,100176,3,NA,Hans Kary,L,NA,AUT,31.0034223135,6-2 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-205,Lagos,Clay,32,A,1980-02-25,6,100451,NA,NA,Tony Graham,R,NA,USA,23.3237508556,100512,NA,Q,Robert Reininger,R,185,AUT,22.1492128679,6-4 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980-205,Lagos,Clay,32,A,1980-02-25,7,100266,NA,NA,John Feaver,R,190,GBR,28.0246406571,100330,NA,NA,David Imonitie,R,NA,NGR,25.87816564,7-5 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
