tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1986-240,Itaparica,Hard,32,A,1986-11-24,1,100653,1,NA,Andres Gomez,L,193,ECU,26.7405886379,101003,NA,WC,Ricardo Acioly,R,180,BRA,22.803559206,7-5 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,246,NA
1986-240,Itaparica,Hard,32,A,1986-11-24,2,100398,NA,Q,Julio Goes,R,180,BRA,31.0828199863,100864,NA,NA,Martin Wostenholme,R,183,CAN,24.1204654346,6-3 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,NA,196,NA
1986-240,Itaparica,Hard,32,A,1986-11-24,3,101119,NA,NA,Marian Vajda,R,173,SVK,21.6700889802,100892,NA,Q,Alexandre Hocevar,R,190,BRA,23.7618069815,6-3 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,572,NA
1986-240,Itaparica,Hard,32,A,1986-11-24,4,100831,NA,Q,Rick Rudeen,R,188,USA,24.4709103354,101237,NA,LL,Danilo Marcelino,R,193,BRA,20.7145790554,6-4 3-6 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,NA,244,NA
1986-240,Itaparica,Hard,32,A,1986-11-24,5,101511,4,NA,Horst Skoff,R,175,AUT,18.2559890486,100221,NA,NA,Carlos Kirmayr,R,173,BRA,36.1697467488,7-5 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,102,NA
1986-240,Itaparica,Hard,32,A,1986-11-24,6,100548,NA,NA,Ivan Kley,R,183,BRA,28.4052019165,101318,NA,NA,Javier Frana,L,185,ARG,19.9151266256,6-2 7-5,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,149,NA
1986-240,Itaparica,Hard,32,A,1986-11-24,7,100240,NA,Q,Joao Soares,R,185,BRA,35.5838466804,100751,NA,NA,Roberto Saad,R,185,ARG,25.4757015743,3-6 7-6 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,NA,204,NA
1986-240,Itaparica,Hard,32,A,1986-11-24,8,100652,5,NA,Cassio Motta,R,180,BRA,26.7542778919,101368,NA,NA,Christian Miniussi,R,185,ARG,19.3894592745,4-6 6-2 7-5,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,95,NA
1986-240,Itaparica,Hard,32,A,1986-11-24,9,100800,6,NA,Diego Perez,R,178,URU,24.7885010267,100518,NA,NA,Ricardo Acuna,R,175,CHI,28.8624229979,6-1 7-6,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,154,NA
1986-240,Itaparica,Hard,32,A,1986-11-24,10,101174,NA,WC,Fernando Roese,R,190,BRA,21.2511978097,101080,NA,NA,Lawson Duncan,R,185,USA,22.0780287474,6-4 4-1 RET,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,NA,164,NA
