tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2021-0499,Delray Beach,Hard,32,A,2021-01-04,300,128034,4,NA,Hubert Hurkacz,R,196,POL,23.8959616701,200624,NA,NA,Sebastian Korda,R,196,USA,20.501026694,6-3 6-3,3,F,71,4,0,50,38,27,7,9,0,1,1,5,55,33,20,9,9,1,5,35,1518,119,566
2021-0499,Delray Beach,Hard,32,A,2021-01-04,299,128034,4,NA,Hubert Hurkacz,R,196,POL,23.8959616701,106328,NA,Q,Christian Harrison,R,NA,USA,26.6036960986,7-6(4) 6-4,3,SF,97,7,1,70,44,30,15,11,2,3,5,4,70,46,29,13,11,3,5,35,1518,789,22
2021-0499,Delray Beach,Hard,32,A,2021-01-04,298,200624,NA,NA,Sebastian Korda,R,196,USA,20.501026694,111815,NA,NA,Cameron Norrie,L,188,GBR,25.3689253936,6-3 7-5,3,SF,81,6,4,60,36,29,11,11,0,2,3,5,56,35,25,7,10,2,6,119,566,74,877
2021-0499,Delray Beach,Hard,32,A,2021-01-04,297,106328,NA,Q,Christian Harrison,R,NA,USA,26.6036960986,126149,NA,NA,Gianluca Mager,R,185,ITA,26.0944558522,7-6(2) 6-4,3,QF,94,2,4,69,47,39,12,11,3,4,5,6,83,45,34,18,11,9,11,789,22,101,733
2021-0499,Delray Beach,Hard,32,A,2021-01-04,296,128034,4,NA,Hubert Hurkacz,R,196,POL,23.8959616701,105933,NA,Q,Roberto Quiroz,L,NA,ECU,28.8651608487,6-4 6-4,3,QF,85,2,1,54,39,29,8,10,2,3,2,1,68,43,28,10,10,7,10,35,1518,293,171
2021-0499,Delray Beach,Hard,32,A,2021-01-04,295,111815,NA,NA,Cameron Norrie,L,188,GBR,25.3689253936,126207,8,NA,Frances Tiafoe,R,188,USA,22.9568788501,6-0 3-6 6-4,3,QF,133,7,4,78,49,37,12,12,9,11,6,1,96,58,38,16,13,12,17,74,877,62,1005
2021-0499,Delray Beach,Hard,32,A,2021-01-04,294,200624,NA,NA,Sebastian Korda,R,196,USA,20.501026694,104545,2,NA,John Isner,R,206,USA,35.6933607118,6-3 4-6 6-3,3,QF,111,5,4,81,49,40,19,14,5,6,13,1,83,60,39,12,14,4,7,119,566,25,1850
2021-0499,Delray Beach,Hard,32,A,2021-01-04,293,106328,NA,Q,Christian Harrison,R,NA,USA,26.6036960986,106426,1,NA,Cristian Garin,R,185,CHI,24.5995893224,7-6(3) 6-2,3,R16,90,4,2,63,42,29,13,10,4,6,3,3,71,44,26,11,10,7,11,789,22,22,2180
2021-0499,Delray Beach,Hard,32,A,2021-01-04,292,126149,NA,NA,Gianluca Mager,R,185,ITA,26.0944558522,105023,6,NA,Sam Querrey,R,198,USA,33.2457221081,7-6(8) 6-1,3,R16,82,4,8,86,54,42,14,10,7,8,10,4,65,34,26,10,9,1,4,101,733,56,1065
2021-0499,Delray Beach,Hard,32,A,2021-01-04,291,128034,4,NA,Hubert Hurkacz,R,196,POL,23.8959616701,123755,NA,NA,Daniel Elahi Galan,R,191,COL,24.5475701574,6-2 6-2,3,R16,59,5,0,43,26,21,13,8,1,1,4,1,51,31,19,6,8,3,7,35,1518,115,606
