tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1969-2029,Dublin,Grass,32,A,1969-07-07,270,100011,NA,NA,Torben Ulrich,L,NA,DEN,36.7556468172,207077,NA,NA,Desmond Early,NA,NA,IRL,NA,6-0 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-2029,Dublin,Grass,32,A,1969-07-07,271,100058,NA,NA,Roger Taylor,L,NA,GBR,27.7289527721,209525,NA,NA,Dennis Foley,U,NA,IRL,NA,6-1 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-2029,Dublin,Grass,32,A,1969-07-07,272,100114,NA,NA,Ray Ruffels,R,NA,AUS,23.2908966461,110196,NA,NA,Peter Ledbetter,U,NA,UNK,NA,6-0 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-2029,Dublin,Grass,32,A,1969-07-07,273,125672,NA,NA,Kenneth Reid,U,NA,IRL,NA,209594,NA,NA,P Coyle,U,NA,IRL,NA,6-3 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-2029,Dublin,Grass,32,A,1969-07-07,274,100037,NA,NA,Nikola Pilic,L,NA,CRO,29.8617385352,209593,NA,NA,G Doughty,U,NA,IRL,NA,6-3 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-2029,Dublin,Grass,32,A,1969-07-07,275,100067,NA,NA,Frew Mcmillan,R,183,RSA,27.1321013005,209535,NA,NA,John Mulvey,U,NA,IRL,NA,6-2 6-0,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-2029,Dublin,Grass,32,A,1969-07-07,276,207073,NA,NA,John Mcgrath,NA,NA,IRL,NA,209592,NA,NA,Ronan Fearon,U,NA,IRL,NA,6-3 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-2029,Dublin,Grass,32,A,1969-07-07,277,100120,NA,NA,Robert Maud,R,180,RSA,22.9021218344,209591,NA,NA,N Lennon,U,NA,IRL,NA,6-1 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-2029,Dublin,Grass,32,A,1969-07-07,278,110957,NA,NA,Peter Jackson,U,NA,IRL,34.7898699521,209590,NA,NA,Paul Fitz Simmons,U,NA,IRL,NA,6-1 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-2029,Dublin,Grass,32,A,1969-07-07,279,109783,NA,NA,Bob Howe,R,183,AUS,43.9260780287,209589,NA,NA,Jimmy Casey,U,NA,IRL,NA,6-1 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969-2029,Dublin,Grass,32,A,1969-07-07,280,100040,NA,NA,Bob Hewitt,R,190,RSA,29.4839151266,209588,NA,NA,J Drury Byrne,U,NA,IRL,NA,6-1 6-0,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
