tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1974-1537,Tempe,Hard,32,A,1974-03-27,1,100179,2,NA,Karl Meiler,R,178,GER,24.9062286105,100288,NA,NA,Tenny Svensson,R,NA,SWE,21.5112936345,4-6 6-0 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-1537,Tempe,Hard,32,A,1974-03-27,2,100321,NA,NA,Vijay Amritraj,R,193,IND,20.2819986311,110409,NA,NA,Mark Joffey,R,NA,USA,NA,6-2 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-1537,Tempe,Hard,32,A,1974-03-27,3,100216,7,NA,Charles Owens,R,NA,USA,23.6550308008,110410,NA,NA,Bob Folz,U,NA,USA,NA,6-0 6-0,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-1537,Tempe,Hard,32,A,1974-03-27,4,100034,NA,NA,Christian Kuhnke,R,NA,GER,34.9541409993,100266,NA,NA,John Feaver,R,190,GBR,22.1081451061,6-4 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-1537,Tempe,Hard,32,A,1974-03-27,5,100272,3,NA,Sandy Mayer,R,178,USA,21.9739904175,100273,NA,NA,Kim Warwick,R,183,AUS,21.9657768652,6-0 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-1537,Tempe,Hard,32,A,1974-03-27,6,100289,NA,NA,Byron Bertram,R,NA,RSA,21.4072553046,100208,NA,NA,Dick R Bohrnstedt,R,NA,USA,23.9123887748,6-3 3-6 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-1537,Tempe,Hard,32,A,1974-03-27,7,100342,6,NA,Vitas Gerulaitis,R,183,USA,19.6687200548,100097,NA,NA,Nicholas Kalogeropoulos,R,NA,GRE,29.1006160164,6-3 2-6 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-1537,Tempe,Hard,32,A,1974-03-27,8,100461,NA,NA,Billy Martin,R,178,USA,17.2511978097,100346,NA,NA,Paul Kronk,R,NA,AUS,19.5099247091,6-1 7-5,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-1537,Tempe,Hard,32,A,1974-03-27,9,100245,NA,NA,Jeff Austin,R,NA,USA,22.726899384,109857,NA,NA,Brian Cheney,R,NA,USA,NA,6-2 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-1537,Tempe,Hard,32,A,1974-03-27,10,107217,8,NA,Ian Crookenden,R,NA,NZL,NA,107235,NA,NA,Ionel Santeiu,R,NA,ROU,NA,6-4 5-7 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-1537,Tempe,Hard,32,A,1974-03-27,11,100118,NA,NA,Ivan Molina,L,NA,COL,27.7782340862,107277,NA,NA,Jan Pisecky,R,NA,CZE,NA,6-4 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-1537,Tempe,Hard,32,A,1974-03-27,12,100161,4,NA,Jurgen Fassbender,R,NA,GER,25.8288843258,100155,NA,NA,Ramiro Benavides,R,NA,BOL,26.1546885695,6-1 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-1537,Tempe,Hard,32,A,1974-03-27,13,100300,NA,NA,Jose Higueras,R,178,ESP,21.0704996578,100038,NA,NA,Jaime Pinto Bravo,R,NA,CHI,34.4640657084,3-6 6-3 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974-1537,Tempe,Hard,32,A,1974-03-27,14,100169,5,NA,Ian Fletcher,R,NA,AUS,25.3169062286,100367,NA,NA,Belus Prajoux,R,170,CHI,19.0773442847,4-6 6-2 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
