tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1976-1725,Pepsi Grand Slam,Clay,4,A,1976-07-10,1,100119,NA,NA,Ilie Nastase,R,183,ROU,29.9767282683,100174,NA,NA,Manuel Orantes,L,178,ESP,27.4223134839,6-4 6-3,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA
1976-1725,Pepsi Grand Slam,Clay,4,A,1976-07-10,297,100284,NA,NA,Jimmy Connors,L,178,USA,23.8521560575,100074,NA,NA,Arthur Ashe,R,185,USA,33.0020533881,6-4 7-6(7),3,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,NA
1976-1725,Pepsi Grand Slam,Clay,4,A,1976-07-10,298,100174,NA,NA,Manuel Orantes,L,178,ESP,27.4223134839,100074,NA,NA,Arthur Ashe,R,185,USA,33.0020533881,6-4 6-4,3,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,6,NA
1976-1725,Pepsi Grand Slam,Clay,4,A,1976-07-10,299,100119,NA,NA,Ilie Nastase,R,183,ROU,29.9767282683,100284,NA,NA,Jimmy Connors,L,178,USA,23.8521560575,0-6 6-4 7-5,3,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA
1976-2011,Tehran,Clay,64,A,1976-10-04,1,100282,1,NA,Guillermo Vilas,L,180,ARG,24.1314168378,100168,NA,NA,Kenneth McMillan,R,NA,USA,27.8576317591,6-2 6-3,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
1976-2011,Tehran,Clay,64,A,1976-10-04,2,100083,NA,NA,Nicola Spear,R,NA,SRB,32.6160164271,110397,NA,NA,Abdelkader Madani,U,NA,ALG,NA,6-4 6-4,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-2011,Tehran,Clay,64,A,1976-10-04,3,100198,NA,NA,Alvaro Betancur,R,NA,COL,26.7515400411,100049,NA,NA,Jim Mcmanus,L,175,USA,36.0492813142,6-1 6-4,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA
1976-2011,Tehran,Clay,64,A,1976-10-04,4,100313,NA,NA,Keith Richardson,R,185,USA,23.1293634497,110398,NA,NA,E Neemati,U,NA,IRI,NA,6-2 6-3,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-2011,Tehran,Clay,64,A,1976-10-04,5,100235,NA,NA,Antonio Munoz,R,NA,ESP,25.5961670089,100244,NA,NA,John Alexander,R,190,AUS,25.2539356605,6-4 6-3,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA
1976-2011,Tehran,Clay,64,A,1976-10-04,6,106641,NA,NA,Bobby Webb,R,NA,USA,NA,100322,NA,NA,Emilio Montano,R,NA,MEX,22.7953456537,DEF,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-2011,Tehran,Clay,64,A,1976-10-04,7,100137,NA,NA,Hans Jurgen Pohmann,R,NA,GER,29.3689253936,100148,NA,NA,Ismail El Shafei,R,NA,EGY,28.887063655,7-5 7-6,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,99,NA
1976-2011,Tehran,Clay,64,A,1976-10-04,8,107457,NA,NA,Juan Ignacio Muntanola,R,NA,ESP,NA,110351,NA,NA,Issa Khodai,U,NA,IRI,NA,7-5 6-3,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-2011,Tehran,Clay,64,A,1976-10-04,9,100174,NA,NA,Manuel Orantes,L,178,ESP,27.6577686516,101014,NA,NA,John Ross,R,185,USA,NA,6-2 6-3,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
1976-2011,Tehran,Clay,64,A,1976-10-04,10,100236,NA,NA,John James,R,183,AUS,25.5797399042,100431,NA,NA,Mansour Bahrami,R,178,IRI,20.4407939767,7-5 4-6 6-1,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976-2011,Tehran,Clay,64,A,1976-10-04,11,100176,NA,NA,Hans Kary,L,NA,AUT,27.6112251882,100035,NA,NA,Ion Tiriac,R,NA,ROU,37.4072553046,DEF,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA
1976-2011,Tehran,Clay,64,A,1976-10-04,12,100190,NA,NA,Norman Holmes,R,NA,USA,26.9979466119,110399,NA,NA,J Tobin,U,NA,IRI,NA,6-0 6-0,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
