tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1979-1725,Pepsi Grand Slam,Clay,4,A,1979-02-10,1,100284,NA,NA,Jimmy Connors,L,178,USA,26.4394250513,100581,NA,NA,John McEnroe,L,180,USA,19.9835728953,6-3 6-4,3,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA
1979-1725,Pepsi Grand Slam,Clay,4,A,1979-02-10,2,100437,NA,NA,Bjorn Borg,R,180,SWE,22.6803559206,100282,NA,NA,Guillermo Vilas,L,180,ARG,26.4832306639,6-3 6-3,3,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA
1979-1725,Pepsi Grand Slam,Clay,4,A,1979-02-10,3,100437,NA,NA,Bjorn Borg,R,180,SWE,22.6803559206,100284,NA,NA,Jimmy Connors,L,178,USA,26.4394250513,6-2 6-3,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,238,100372,NA,NA,Trey Waltke,R,173,USA,24.3531827515,100121,NA,NA,Raymond Moore,R,183,RSA,32.9117043121,7-6 6-4,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,239,100116,NA,NA,Sherwood Stewart,R,188,USA,33.1279945243,100752,NA,NA,Ramesh Krishnan,R,170,IND,18.1300479124,6-2 7-6,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,69,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,240,100436,NA,NA,Nick Saviano,L,180,USA,23.1293634497,100344,NA,NA,Eric Friedler,R,NA,USA,24.8706365503,6-4 4-6 6-2,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,241,100276,NA,NA,Terry Moor,L,178,USA,27.2470910335,100186,NA,NA,Jeff Borowiak,R,193,USA,29.8234086242,3-6 6-1 7-6,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,242,100322,NA,NA,Emilio Montano,R,NA,MEX,25.5934291581,100574,NA,NA,Peter Rennert,L,185,USA,20.5722108145,6-3 7-6,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,243,100354,NA,NA,Bernard Mitton,R,188,RSA,24.7008898015,100166,NA,NA,Gene Stuart Malin,R,NA,USA,30.8062970568,6-2 6-3,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,244,100545,NA,NA,Deon Joubert,L,NA,RSA,21.0924024641,100403,NA,NA,Rolf Gehring,R,185,GER,23.6577686516,6-2 5-7 7-6,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,245,100236,NA,NA,John James,R,183,AUS,28.3778234086,130938,NA,NA,John Austin,U,NA,IRL,NA,6-1 6-4,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,246,100368,NA,NA,Haroon Ismail,R,178,ZIM,24.3997262149,100173,NA,NA,Andrew Pattison,R,188,USA,30.4750171116,6-3 6-4,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,247,100400,NA,NA,Hubertus Hoyt,R,NA,USA,23.7180013689,100557,NA,NA,Jai Dilouie,R,NA,USA,20.8624229979,3-6 6-3 6-4,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,248,100298,NA,NA,George Hardie,L,NA,USA,26.4202600958,100422,NA,NA,Bruce Manson,L,173,USA,23.3401779603,7-6 6-2,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,249,100700,NA,NA,Heinz Gildemeister,R,178,CHI,18.7597535934,107379,NA,NA,John Chris Lewis,R,NA,USA,NA,6-3 2-6 7-6,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,250,100294,NA,NA,Rejean Genois,R,175,CAN,26.559890486,100523,NA,NA,Erick Iskersky,R,180,USA,21.4893908282,6-4 2-6 7-5,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,251,100115,NA,NA,Jaime Fillol,R,180,CHI,33.1362080767,100546,NA,NA,Eric Fromm,R,178,USA,21.0704996578,6-1 7-5,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,252,100377,NA,NA,Colin Dowdeswell,R,185,GBR,24.1971252567,100611,NA,NA,Mel Purcell,R,178,USA,20.0136892539,1-6 6-4 6-2,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,NA,NA
1979-1727,Louisville,Hard,64,A,1979-07-23,253,100257,NA,NA,Ross Case,R,NA,AUS,27.7234770705,100203,NA,NA,Phil Dent,R,183,AUS,29.4346338125,6-1 6-4,3,R64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA
