tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1985-301,Auckland,Hard,32,A,1985-01-07,1,100713,1,NA,John Fitzgerald,R,183,AUS,24.0273785079,100771,NA,NA,Kelvin Belcher,R,185,USA,23.2991101985,2-6 6-3 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,195,NA
1985-301,Auckland,Hard,32,A,1985-01-07,2,100179,NA,NA,Karl Meiler,R,178,GER,35.6906228611,100840,NA,NA,Mark Wooldridge,R,188,USA,22.5051334702,2-6 6-4 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,164,NA
1985-301,Auckland,Hard,32,A,1985-01-07,3,100798,NA,NA,Howard Sands,R,173,USA,22.9212867899,101145,NA,NA,Jonathan Canter,R,185,USA,19.5947980835,3-6 6-3 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,239,NA
1985-301,Auckland,Hard,32,A,1985-01-07,4,100551,5,NA,Brad Drewett,L,185,AUS,26.4722792608,100880,NA,Q,Russell Barlow,L,173,AUS,22.0561259411,2-6 6-2 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,385,NA
1985-301,Auckland,Hard,32,A,1985-01-07,5,100618,3,NA,Leif Shiras,R,183,USA,25.3826146475,101064,NA,NA,David Lewis,R,180,NZL,20.3449691992,3-6 6-2 8-6,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,517,NA
1985-301,Auckland,Hard,32,A,1985-01-07,6,100772,NA,NA,Kelly Evernden,R,175,NZL,23.2963723477,107700,NA,NA,Mark Long,R,NA,NZL,NA,6-2 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,NA,741,NA
1985-301,Auckland,Hard,32,A,1985-01-07,7,100714,NA,NA,Broderick Dyke,L,183,AUS,24.0191649555,100364,NA,NA,Jonathan Smith,R,188,GBR,29.9411362081,6-7 6-0 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,NA,182,NA
1985-301,Auckland,Hard,32,A,1985-01-07,8,100923,8,NA,Wally Masur,R,180,AUS,21.6563997262,100638,NA,NA,David Mustard,L,180,NZL,25.0266940452,4-6 6-3 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,168,NA
1985-301,Auckland,Hard,32,A,1985-01-07,9,100744,6,NA,Peter Doohan,R,190,AUS,23.6851471595,100790,NA,NA,Bruce Derlin,L,180,NZL,23.1101984942,6-2 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,135,NA
1985-301,Auckland,Hard,32,A,1985-01-07,10,100868,NA,NA,Craig A Miller,R,188,AUS,22.2231348392,100722,NA,Q,Michael Fancutt,R,190,AUS,23.8795345654,6-2 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,NA,494,NA
1985-301,Auckland,Hard,32,A,1985-01-07,11,100674,NA,NA,Jeff Turpin,R,188,USA,24.6543463381,100801,NA,Q,Richard Akel,L,NA,USA,22.9021218344,4-6 6-3 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,NA,517,NA
1985-301,Auckland,Hard,32,A,1985-01-07,12,100761,NA,NA,Danny Saltz,R,193,USA,23.4414784394,100740,4,NA,Dan Cassidy,R,178,USA,23.6933607118,7-5 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,76,NA
1985-301,Auckland,Hard,32,A,1985-01-07,13,100474,7,NA,Chris Lewis,R,180,NZL,27.832991102,100587,NA,NA,Steve Guy,R,188,NZL,25.8179329227,6-4 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,268,NA
