tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1989-201,Guaruja,Hard,32,A,1989-02-06,1,100954,1,NA,Luiz Mattar,R,183,BRA,25.453798768,101076,NA,NA,Cesar Kist,R,180,BRA,24.2737850787,6-2 6-2,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,248,NA
1989-201,Guaruja,Hard,32,A,1989-02-06,2,100323,NA,LL,Givaldo Barbosa,R,183,BRA,35.0143737166,101250,NA,NA,Jose Daher,R,180,BRA,22.7816563997,7-6 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,NA,302,NA
1989-201,Guaruja,Hard,32,A,1989-02-06,3,101745,NA,WC,Roberto Jabali,R,190,BRA,18.7104722793,101003,NA,Q,Ricardo Acioly,R,180,BRA,24.9883641342,4-6 6-0 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441,NA,520,NA
1989-201,Guaruja,Hard,32,A,1989-02-06,4,100972,7,NA,Todd Witsken,R,183,USA,25.2402464066,100917,NA,Q,Nelson Aerts,R,188,BRA,25.7686516085,5-7 6-3 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,707,NA
1989-201,Guaruja,Hard,32,A,1989-02-06,5,101409,3,NA,Jaime Yzaga,R,170,PER,21.273100616,100922,NA,NA,Roberto Arguello,U,173,ARG,25.7221081451,7-6 6-1,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,192,NA
1989-201,Guaruja,Hard,32,A,1989-02-06,6,100864,NA,NA,Martin Wostenholme,R,183,CAN,26.3052703628,101761,NA,WC,Jaime Oncins,R,196,BRA,18.6255989049,6-2 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392,NA,314,NA
1989-201,Guaruja,Hard,32,A,1989-02-06,7,100949,NA,NA,Mauro Menezes,R,193,BRA,25.5140314853,100398,NA,NA,Julio Goes,R,180,BRA,33.2676249144,6-3 6-4,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,NA,289,NA
1989-201,Guaruja,Hard,32,A,1989-02-06,8,100607,6,NA,Eduardo Bengoechea,R,185,ARG,29.582477755,100986,NA,NA,Dacio Campos,R,185,BRA,25.1197809719,7-6 7-6,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,256,NA
1989-201,Guaruja,Hard,32,A,1989-02-06,9,101131,NA,NA,Jimmy Brown,R,180,USA,23.7590691307,101318,5,NA,Javier Frana,L,185,ARG,22.0999315537,4-6 6-2 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,NA,86,NA
1989-201,Guaruja,Hard,32,A,1989-02-06,10,100807,NA,NA,Marcelo Hennemann,R,170,BRA,26.8911704312,100980,NA,Q,Edvaldo Oliveira,R,178,BRA,25.2019164956,6-4 6-3,3,R32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,NA,824,NA
